FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
5670,6700,529,190,2061,562,8272,15283,744,250,2830,1020,29,146
93,107,199,46,0,0,593,2810,354,75,1251,323,18,146
0,0,195,46,153,384,172,2564,377,111,830,337,17,147
7606,1185,270,144,0,763,11056,4411,352,256,1040,652,25,147
18017,5343,1177,417,5008,121,23500,9245,1122,456,4866,833,42,149
82384,25138,2687,1073,9827,1526,84943,34544,2631,1023,8349,915,60,149
0,180,202,28,70,720,0,4308,351,17,2538,851,18,149
1068,2328,323,85,245,747,1919,8504,583,127,2779,1492,20,149
4929,2675,454,179,2190,633,6572,5118,382,200,2482,840,41,150
16503,7390,1072,276,2579,1076,18243,13352,933,423,3048,830,51,150
28492,21791,22786,5979,9886,771,32630,31587,22391,5963,9555,1102,79,150
8263,5090,900,431,7779,1379,9121,8547,786,464,8279,1519,43,150
11097,7140,918,396,3821,819,13910,15552,940,346,3865,1792,39,151
2571,2019,404,127,382,925,4420,8033,624,143,1029,1078,26,151
12373,5451,868,363,2621,407,14957,8584,841,385,4076,946,39,151
5240,4503,513,253,1912,0,7510,9692,622,301,2490,0,31,152
29525,35371,1074,340,2457,892,31720,51554,1069,372,4577,1918,46,153
9603,99287,611,211,849,796,12287,156098,549,206,1787,848,39,153
81,251,245,67,0,332,821,3916,390,90,670,557,21,153
32859,24682,788,269,2798,608,38404,39367,889,260,2640,1569,40,153
281926,47184,13642,4867,34702,2636,297500,65155,13065,4502,34775,1774,78,154
216933,14048,45666,29851,388460,3679,214625,20962,42167,26034,351032,6620,105,154
10496,8197,581,286,3315,298,13170,14887,759,398,4860,1242,37,154
8064,7340,658,254,2950,1340,9251,11685,787,344,5092,1368,35,154
40,496,194,51,459,606,701,2897,352,62,1424,723,17,154
429438,45292,31504,8515,33561,1716,450656,57936,30292,7936,36326,2548,90,155
4425,5144,539,158,1964,722,6173,10577,708,150,3173,1139,31,155
2590,4675,220,96,792,702,5442,11470,382,147,3375,1961,19,156
7062,3055,424,108,1860,640,10485,6399,476,114,2325,463,35,156
5914,8831,512,177,3199,992,6705,13958,462,174,3068,1387,37,156
4412,3568,618,74,1156,1543,5532,6625,553,126,1636,1222,39,156
2923,3082,572,117,2227,5,4176,4374,516,157,3452,980,43,156
2632,3372,468,107,2334,146,3992,8674,748,133,4480,86,25,157
47308,7164,689,237,1173,764,59070,9545,602,274,3313,509,38,157
11615,10941,1103,281,2783,0,13130,15623,1304,374,3542,1277,44,157
47292,5871,812,148,217,0,57909,9562,722,158,1108,403,40,158
